estimated_preparation_time,rider_to_kitchen_km,kitchen_to_customer_km,total_distance_km,hour_of_day,day_of_week,actual_delivery_minutes
17,2.84,1.23,4.07,19,1,42
14,1.71,6.51,8.22,20,1,46
14,1.71,6.51,8.22,20,1,46
24,1.71,4.84,6.55,20,1,48
24,1.71,4.84,6.55,20,1,48
32,1.71,4.73,6.44,20,1,55
32,1.71,4.73,6.44,20,1,55
20,1.71,6.01,7.72,21,1,36
20,1.71,6.01,7.72,21,1,36
26,2.84,3.94,6.78,21,1,43
26,2.84,3.94,6.78,21,1,43
28,2.84,2.87,5.7,11,2,39
28,2.84,2.87,5.7,11,2,39
16,0.05,4.55,4.61,11,2,25
16,0.05,4.55,4.61,11,2,25
13,0.05,5.51,5.57,13,2,30
13,0.05,5.51,5.57,13,2,30
15,1.71,5.45,7.17,14,2,36
15,1.71,5.45,7.17,14,2,36
14,2.84,2.96,5.8,14,2,31
14,2.84,2.96,5.8,14,2,31
30,1.71,1.43,3.14,15,2,41
30,1.71,1.43,3.14,15,2,41
30,0.05,2.61,2.66,16,2,37
30,0.05,2.61,2.66,16,2,37
18,2.84,7.45,10.29,16,2,40
18,2.84,7.45,10.29,16,2,40
34,1.71,7.38,9.09,17,2,60
34,1.71,7.38,9.09,17,2,60
18,1.71,0.53,2.24,18,2,32
18,1.71,0.53,2.24,18,2,32
29,0.05,1.38,1.44,18,2,42
29,0.05,1.38,1.44,18,2,42
16,1.71,5.75,7.46,19,2,47
16,1.71,5.75,7.46,19,2,47
29,0.05,7.82,7.87,19,2,61
29,0.05,7.82,7.87,19,2,61
24,0.05,4.06,4.11,21,2,37
24,0.05,4.06,4.11,21,2,37
25,2.84,3.53,6.37,21,2,39
25,2.84,3.53,6.37,21,2,39
24,1.71,6.1,7.81,21,2,42
24,1.71,6.1,7.81,21,2,42
29,1.71,7.41,9.12,12,3,59
29,1.71,7.41,9.12,12,3,59
25,0.05,5.92,5.97,12,3,45
25,0.05,5.92,5.97,12,3,45
14,0.05,1.93,1.98,13,3,23
14,0.05,1.93,1.98,13,3,23
27,1.71,5.97,7.68,14,3,57
27,1.71,5.97,7.68,14,3,57
12,0.05,1.64,1.7,16,3,18
12,0.05,1.64,1.7,16,3,18
29,0.05,3.1,3.15,17,3,39
29,0.05,3.1,3.15,17,3,39
25,1.71,1.72,3.43,17,3,38
25,1.71,1.72,3.43,17,3,38
33,0.05,1.89,1.94,18,3,49
33,0.05,1.89,1.94,18,3,49
18,1.71,6.31,8.02,18,3,50
18,1.71,6.31,8.02,18,3,50
12,2.84,5.49,8.33,19,3,46
12,2.84,5.49,8.33,19,3,46
21,1.71,3.78,5.49,19,3,44
21,1.71,3.78,5.49,19,3,44
12,2.84,1.13,3.96,20,3,27
12,2.84,1.13,3.96,20,3,27
30,2.84,1.41,4.25,20,3,47
30,2.84,1.41,4.25,20,3,47
17,2.84,4.88,7.72,20,3,46
17,2.84,4.88,7.72,20,3,46
28,0.05,1.0,1.05,11,4,31
28,0.05,1.0,1.05,11,4,31
16,2.84,4.21,7.04,11,4,34
16,2.84,4.21,7.04,11,4,34
16,1.71,5.35,7.06,11,4,30
16,1.71,5.35,7.06,11,4,30
17,2.84,5.91,8.75,13,4,45
17,2.84,5.91,8.75,13,4,45
26,0.05,2.74,2.8,14,4,41
26,0.05,2.74,2.8,14,4,41
21,1.71,5.12,6.83,14,4,41
21,1.71,5.12,6.83,14,4,41
21,1.71,6.33,8.04,16,4,44
21,1.71,6.33,8.04,16,4,44
18,2.84,4.8,7.64,16,4,36
18,2.84,4.8,7.64,16,4,36
15,0.05,2.23,2.29,18,4,31
15,0.05,2.23,2.29,18,4,31
26,2.84,3.15,5.99,19,4,51
26,2.84,3.15,5.99,19,4,51
25,1.71,4.02,5.73,11,5,40
25,1.71,4.02,5.73,11,5,40
34,1.71,1.46,3.17,12,5,47
34,1.71,1.46,3.17,12,5,47
25,2.84,6.92,9.76,12,5,50
25,2.84,6.92,9.76,12,5,50
13,0.05,6.98,7.03,13,5,30
13,0.05,6.98,7.03,13,5,30
12,2.84,6.06,8.9,14,5,36
12,2.84,6.06,8.9,14,5,36
23,2.84,5.54,8.38,14,5,48
23,2.84,5.54,8.38,14,5,48
28,0.05,3.61,3.67,14,5,47
28,0.05,3.61,3.67,14,5,47
19,1.71,2.86,4.57,18,5,41
19,1.71,2.86,4.57,18,5,41
14,0.05,7.24,7.3,19,5,44
14,0.05,7.24,7.3,19,5,44
20,0.05,1.0,1.05,19,5,32
20,0.05,1.0,1.05,19,5,32
13,0.05,3.4,3.46,21,5,28
13,0.05,3.4,3.46,21,5,28
28,0.05,3.27,3.32,11,6,41
28,0.05,3.27,3.32,11,6,41
14,0.05,6.52,6.57,11,6,31
14,0.05,6.52,6.57,11,6,31
15,0.05,0.59,0.64,11,6,22
15,0.05,0.59,0.64,11,6,22
31,1.71,3.48,5.19,12,6,50
31,1.71,3.48,5.19,12,6,50
19,0.05,5.5,5.55,12,6,38
19,0.05,5.5,5.55,12,6,38
23,1.71,4.17,5.88,12,6,43
23,1.71,4.17,5.88,12,6,43
18,2.84,5.94,8.78,13,6,46
18,2.84,5.94,8.78,13,6,46
18,0.05,7.97,8.02,13,6,48
18,0.05,7.97,8.02,13,6,48
19,1.71,5.92,7.63,13,6,40
19,1.71,5.92,7.63,13,6,40
33,2.84,6.29,9.13,13,6,64
33,2.84,6.29,9.13,13,6,64
27,2.84,7.78,10.62,13,6,55
27,2.84,7.78,10.62,13,6,55
28,2.84,5.04,7.87,13,6,51
28,2.84,5.04,7.87,13,6,51
35,0.05,6.23,6.29,14,6,52
35,0.05,6.23,6.29,14,6,52
23,2.84,4.47,7.31,15,6,37
23,2.84,4.47,7.31,15,6,37
29,2.84,7.97,10.8,15,6,54
29,2.84,7.97,10.8,15,6,54
35,0.05,3.22,3.28,16,6,45
35,0.05,3.22,3.28,16,6,45
14,2.84,5.97,8.8,16,6,37
14,2.84,5.97,8.8,16,6,37
33,0.05,3.7,3.75,16,6,44
33,0.05,3.7,3.75,16,6,44
22,2.84,3.08,5.92,17,6,37
22,2.84,3.08,5.92,17,6,37
32,0.05,3.76,3.82,18,6,52
32,0.05,3.76,3.82,18,6,52
20,2.84,5.16,8.0,18,6,55
20,2.84,5.16,8.0,18,6,55
29,0.05,3.27,3.33,18,6,44
28,1.71,7.43,9.14,18,6,56
29,0.05,3.27,3.33,18,6,44
28,1.71,7.43,9.14,18,6,56
27,1.71,2.47,4.18,18,6,47
27,1.71,2.47,4.18,18,6,47
20,0.05,6.41,6.47,19,6,49
20,0.05,6.41,6.47,19,6,49
13,2.84,2.94,5.78,12,7,34
13,2.84,2.94,5.78,12,7,34
21,2.84,2.62,5.46,12,7,36
21,2.84,2.62,5.46,12,7,36
15,0.05,3.07,3.13,12,7,28
34,1.71,7.59,9.3,12,7,64
15,0.05,3.07,3.13,12,7,28
34,1.71,7.59,9.3,12,7,64
31,2.84,1.92,4.76,14,7,47
31,2.84,1.92,4.76,14,7,47
16,1.71,1.93,3.64,14,7,34
16,1.71,1.93,3.64,14,7,34
22,2.84,3.44,6.27,15,7,36
22,2.84,3.44,6.27,15,7,36
28,0.05,6.43,6.48,15,7,49
28,0.05,6.43,6.48,15,7,49
18,1.71,2.74,4.45,16,7,35
18,1.71,2.74,4.45,16,7,35
17,1.71,1.18,2.89,16,7,22
17,1.71,1.18,2.89,16,7,22
32,1.71,0.7,2.42,18,7,49
32,1.71,0.7,2.42,18,7,49
19,0.05,4.65,4.71,19,7,35
19,0.05,4.65,4.71,19,7,35
14,1.71,3.46,5.17,20,7,38
14,1.71,3.46,5.17,20,7,38
13,2.84,3.85,6.69,20,7,39
13,2.84,3.85,6.69,20,7,39
34,2.84,4.13,6.97,21,7,53
34,2.84,4.13,6.97,21,7,53
18,0.05,7.89,7.94,14,1,45
18,0.05,7.89,7.94,14,1,45
23,1.71,0.92,2.63,14,1,38
23,1.71,0.92,2.63,14,1,38
14,2.84,5.73,8.57,15,1,35
14,2.84,5.73,8.57,15,1,35
17,0.05,1.98,2.03,17,1,22
17,0.05,1.98,2.03,17,1,22
28,0.05,5.57,5.62,17,1,43
28,0.05,5.57,5.62,17,1,43
24,1.71,5.73,7.44,17,1,41
24,1.71,5.73,7.44,17,1,41
12,1.71,5.98,7.69,17,1,34
12,1.71,5.98,7.69,17,1,34
29,0.05,7.94,8.0,19,1,57
29,0.05,7.94,8.0,19,1,57
31,0.05,1.67,1.73,19,1,45
31,0.05,1.67,1.73,19,1,45
28,1.71,5.71,7.42,19,1,58
28,1.71,5.71,7.42,19,1,58
26,1.71,3.8,5.51,19,1,47
26,1.71,3.8,5.51,19,1,47
13,0.05,5.44,5.49,20,1,38
13,0.05,5.44,5.49,20,1,38
22,2.84,6.85,9.69,11,2,52
22,2.84,6.85,9.69,11,2,52
28,0.05,1.33,1.38,11,2,36
28,0.05,1.33,1.38,11,2,36
22,0.05,3.58,3.64,11,2,29
22,0.05,3.58,3.64,11,2,29
29,2.84,2.69,5.53,11,2,46
29,2.84,2.69,5.53,11,2,46
34,1.71,4.51,6.22,11,2,53
34,1.71,4.51,6.22,11,2,53
23,2.84,5.63,8.47,12,2,51
23,2.84,5.63,8.47,12,2,51
19,1.71,7.58,9.29,12,2,49
19,1.71,7.58,9.29,12,2,49
29,2.84,3.41,6.24,13,2,45
29,2.84,3.41,6.24,13,2,45
23,0.05,4.95,5.0,13,2,39
23,0.05,4.95,5.0,13,2,39
33,1.71,2.66,4.37,14,2,52
33,1.71,2.66,4.37,14,2,52
34,2.84,6.07,8.91,14,2,63
34,2.84,6.07,8.91,14,2,63
14,2.84,6.78,9.61,15,2,34
14,2.84,6.78,9.61,15,2,34
13,0.05,1.9,1.95,17,2,18
13,0.05,1.9,1.95,17,2,18
16,2.84,5.54,8.37,17,2,33
12,1.71,3.25,4.96,17,2,23
16,2.84,5.54,8.37,17,2,33
12,1.71,3.25,4.96,17,2,23
27,2.84,2.79,5.62,17,2,45
27,2.84,2.79,5.62,17,2,45
21,2.84,6.91,9.75,17,2,44
21,2.84,6.91,9.75,17,2,44
24,1.71,6.79,8.51,20,2,53
24,1.71,6.79,8.51,20,2,53
15,1.71,5.28,6.99,21,2,34
15,1.71,5.28,6.99,21,2,34
13,2.84,3.51,6.34,11,3,28
13,2.84,3.51,6.34,11,3,28
35,1.71,1.97,3.68,12,3,47
35,1.71,1.97,3.68,12,3,47
23,1.71,5.96,7.67,12,3,50
23,1.71,5.96,7.67,12,3,50
27,1.71,6.92,8.63,12,3,54
27,1.71,6.92,8.63,12,3,54
26,0.05,3.1,3.15,13,3,41
26,0.05,3.1,3.15,13,3,41
20,1.71,6.12,7.83,13,3,48
20,1.71,6.12,7.83,13,3,48
32,2.84,6.65,9.49,14,3,62
32,2.84,6.65,9.49,14,3,62
35,1.71,1.1,2.82,14,3,50
35,1.71,1.1,2.82,14,3,50
28,2.84,5.05,7.89,14,3,55
28,2.84,5.05,7.89,14,3,55
25,0.05,5.42,5.47,14,3,44
25,0.05,5.42,5.47,14,3,44
32,0.05,7.49,7.55,15,3,50
32,0.05,7.49,7.55,15,3,50
13,2.84,7.21,10.04,15,3,39
13,2.84,7.21,10.04,15,3,39
32,0.05,2.63,2.68,17,3,41
32,0.05,2.63,2.68,17,3,41
25,2.84,4.67,7.51,17,3,43
25,2.84,4.67,7.51,17,3,43
27,0.05,4.86,4.91,18,3,50
27,0.05,4.86,4.91,18,3,50
23,1.71,3.55,5.27,18,3,41
23,1.71,3.55,5.27,18,3,41
22,0.05,3.08,3.13,18,3,39
22,0.05,3.08,3.13,18,3,39
32,0.05,2.07,2.12,18,3,49
32,0.05,2.07,2.12,18,3,49
24,1.71,7.75,9.47,19,3,64
24,1.71,7.75,9.47,19,3,64
25,0.05,6.23,6.29,19,3,49
25,0.05,6.23,6.29,19,3,49
28,2.84,6.52,9.36,19,3,63
28,2.84,6.52,9.36,19,3,63
25,2.84,2.97,5.81,20,3,47
25,2.84,2.97,5.81,20,3,47
20,1.71,0.75,2.46,20,3,34
20,1.71,0.75,2.46,20,3,34
32,2.84,4.8,7.64,20,3,67
32,2.84,4.8,7.64,20,3,67
28,1.71,2.37,4.08,21,3,44
28,1.71,2.37,4.08,21,3,44
27,0.05,2.15,2.21,21,3,36
27,0.05,2.15,2.21,21,3,36
